Category,SubCategory,Task
Text Classification, JSON Schema, "Categorize social media posts into specific sentiment classes (e.g., positive, negative, neutral) in a JSON format."
Text Classification, JSON Schema, "Categorize user reviews of movies into specific genres (e.g., action, drama) in a JSON format."
Text Classification, JSON Schema, Categorize customer reviews of financial services into specific service categories in a JSON format.
Text Classification, JSON Schema, Categorize student essays into specific academic disciplines in a JSON format.
Text Classification, JSON Schema, Categorize medical research articles into specific medical specialties in a JSON format.
Text Classification, JSON Schema, Categorize restaurant reviews into specific cuisine types and dining experiences in a JSON format.
Text Classification, JSON Schema, Categorize client feedback into specific service areas and satisfaction levels in a JSON format.
Text Classification, JSON Schema, Categorize legal opinions into specific legal domains and case types in a JSON format.
Text Classification, JSON Schema, Categorize shipping invoices into specific product categories and delivery schedules in a JSON format.
Text Classification, JSON Schema, Categorize quality control reports into specific defect categories and.
Document Ranking, JSON Schema, Rank news articles based on trending topics and user preferences presented as a structured JSON object.
Document Ranking, JSON Schema, Rank blog posts based on their popularity and relevance to specific topics presented as a structured JSON object.
Document Ranking, JSON Schema, Rank legal documents based on their relevance to specific case law queries presented as a structured JSON object.
Document Ranking, JSON Schema, Rank educational research papers based on citation count and academic impact presented as a structured JSON object.
Document Ranking, JSON Schema, Rank healthcare blogs based on their relevance to specific medical conditions presented as a structured JSON object.
Document Ranking, JSON Schema, Rank travel blogs based on their relevance to specific tourist destinations presented as a structured JSON object.
Document Ranking, JSON Schema, Rank business articles based on their relevance to specific corporate challenges presented as a structured JSON object.
Document Ranking, JSON Schema, Rank legal articles based on their relevance to specific legal issues presented as a structured JSON object.
Document Ranking, JSON Schema, Rank transportation-related articles based on their relevance to specific industry trends presented as a structured JSON object.
Document Ranking, JSON Schema, Rank manufacturing data based on specific production queries in a structured JSON object.
Annotation, JSON Schema, Annotate scientific articles with relevant research domains and key findings represented in a JSON structure.
Annotation, JSON Schema, Annotate recipes with nutritional information and ingredient details represented in a JSON structure.
Annotation, JSON Schema, Annotate insurance claims with relevant policy information and claim details represented in a JSON structure.
Annotation, JSON Schema, Annotate online courses with relevant learning outcomes and assessment details represented in a JSON structure.
Annotation, JSON Schema, Annotate electronic health records with relevant patient demographics and medical history details represented in a JSON structure.
Annotation, JSON Schema, Annotate event venues with relevant facilities and capacities represented in a JSON structure.
Annotation, JSON Schema, Annotate financial statements with relevant performance metrics and industry benchmarks represented in a JSON structure.
Annotation, JSON Schema, Annotate contracts with relevant clauses and legal obligations represented in a JSON structure.
Annotation, JSON Schema, Annotate delivery schedules with relevant shipment details and carrier information represented in a JSON structure.
Annotation, JSON Schema, Annotate manufacturing data based on specific production queries in a structured JSON object.
Topic Modelling, JSON Schema, Uncover and categorize emerging trends in user reviews of consumer products as a structured JSON object.
Topic Modelling, JSON Schema, Uncover prevalent themes in travel blogs and articles as a structured JSON object.
Topic Modelling, JSON Schema, Uncover prevalent themes in consulting reports and industry analyses as a structured JSON object.
Topic Modelling, JSON Schema, Analyze and categorize key insights from customer feedback on electronic gadgets presented as a structured JSON object.
Topic Modelling, JSON Schema, Explore and classify major topics discussed in fashion and lifestyle blogs structured in a JSON format.
Topic Modelling, JSON Schema, Identify and categorize emerging trends in technology-related whitepapers and research reports represented in a structured JSON schema.
Topic Modelling, JSON Schema, Unearth prevailing themes in market research studies and consumer surveys organized in a JSON structure.
Topic Modelling, JSON Schema, Analyze and categorize insights from user-generated content on social media platforms presented as a structured JSON object.
Topic Modelling, JSON Schema, Identify and categorize key themes in product reviews for beauty and skincare items structured in a JSON format.
Topic Modelling, JSON Schema, Explore and classify prevalent topics in food and culinary blogs presented as a structured JSON schema.
Web Browser Agent,Search APIs,Bing
Web Browser Agent,Search APIs,Google
Web Browser Agent,Search APIs,DuckDuckGo
Web Browser Agent,Web Scraping,BeautifulSoup
Web Browser Agent,Web Scraping,Selenium
Web Browser Agent,Web Navigation,Fill out forms
Web Browser Agent,Web Navigation,Click buttons
Web Browser Agent,Download files from websites,File downloads
Web Browser Agent,Take screenshots of web pages,Web page screenshots
Web Browser Agent,Manage browser extensions,Browser extensions
Web Browser Agent,Interact with pop-ups and dialogs,Web interactions
Web Browser Agent,Handle multiple tabs and windows,Browser window management
Web APIs,Request-Reply HTTP APIs,API usage
Web APIs,Weather data APIs,Weather APIs
Web APIs,Location APIs,Geolocation APIs
Web APIs,ECommerce APIs,Online shopping APIs
Web APIs,Call translation APIs,Translation APIs
Web APIs,Call image recognition APIs,Image recognition APIs
Web APIs,Call sentiment analysis APIs,Sentiment analysis APIs
Web APIs,Call text summarization APIs,Text summarization APIs
Web APIs,Call speech-to-text APIs,Speech-to-text APIs
Web APIs,Call text-to-speech APIs,Text-to-speech APIs
Web APIs,Call financial data APIs,Financial data APIs
Web APIs,Call news APIs,News APIs
Productivity Tools Integration,Emails,Email integration
Productivity Tools Integration,Calendar,Calendar integration
Productivity Tools Integration,Task management,Task management integration
Productivity Tools Integration,Send and receive emails,Email clients
Productivity Tools Integration,Manage contacts,Contact management
Productivity Tools Integration,Schedule meetings,Calendar apps
Productivity Tools Integration,Create and edit documents,Document editors
Productivity Tools Integration,Take notes,Note-taking apps
Productivity Tools Integration,Collaborate with others,Collaborative tools
Use Apps,Order Food,Doordash,Food delivery apps
Use Apps,Call a Ride,Uber,Ride-hailing apps
Use Apps,Play music,Music apps
Use Apps,Watch videos,Video streaming apps
Use Apps,Send messages,Messaging apps
Use Apps,Make calls,Calling apps
Use Apps,Use social media apps,Social media apps
Use Apps,Read News,News Apps
Use Apps,Check Weather,Weather Apps
Use Apps,Explore Maps,Navigation Apps
Use Apps,Learn Languages,Language Learning Apps
Use Apps,Stay Fit,Fitness Apps
Use Apps,Discover Recipes,Cooking and Recipe Apps
Use Apps,Capture Moments,Photo and Video Apps
Use Apps,Learn Skills,Educational Apps
Use Apps,Discover Books,Reading Apps
Use Apps,Manage Finances,Finance and Budgeting Apps
Use Apps,Track Health,Health and Wellness Apps
Use Apps,Explore Art,Art and Creativity Apps
Use Apps,Plan Travel,Travel Planning Apps
Use Apps,Find Jobs,Job Search Apps
Use Apps,Discover Events,Event Discovery Apps
Use Apps,Explore Fashion,Fashion and Shopping Apps
Use Apps,Discover Podcasts,Podcast Apps
Use Apps,Play Games,Mobile Gaming Apps
Use Apps,Connect with Professionals,Professional Networking Apps
Use Apps,Discover Local Deals,Local Deals and Coupons Apps
Use Apps,Learn Instruments,Music Learning Apps
Use Apps,Manage Time,Time Management Apps
Use Apps,Discover Home Decor,Home Decor and Design Apps
Use Apps,Explore Astronomy,Astronomy Apps
Use Apps,Discover Comedy,Comedy and Entertainment Apps
Use Apps,Learn Coding,Coding and Programming Apps
Use Apps,Practice Meditation,Meditation Apps
Use Apps,Explore Science,Science and Exploration Apps
Use Apps,Manage Passwords,Password Manager Apps
Use Apps,Discover Wildlife,Wildlife and Nature Apps
Use Apps,Track Expenses,Expense Tracking Apps
Use Apps,Explore Virtual Reality,Virtual Reality Apps
Use Apps,Practice Yoga,Yoga Apps
Use Apps,Explore Astronomy,Astronomy Apps
Use Apps,Discover Comedy,Comedy and Entertainment Apps
Use Apps,Learn Coding,Coding and Programming Apps
Use Apps,Practice Meditation,Meditation Apps
Use Apps,Explore Science,Science and Exploration Apps
Use Apps,Manage Passwords,Password Manager Apps
Use Apps,Discover Wildlife,Wildlife and Nature Apps
Use Apps,Track Expenses,Expense Tracking Apps
Use Apps,Explore Virtual Reality,Virtual Reality Apps
Use Apps,Practice Yoga,Yoga Apps
Use Apps,Plan Home Renovation,Home Renovation Apps
Use Apps,Discover Gadgets,Tech and Gadget Discovery Apps
Use Apps,Explore Astronomy,Astronomy Apps
Use Apps,Discover Comedy,Comedy and Entertainment Apps
Use Apps,Learn Coding,Coding and Programming Apps
Use Apps,Practice Meditation,Meditation Apps
Use Apps,Explore Science,Science and Exploration Apps
Use Apps,Manage Passwords,Password Manager Apps
Use Apps,Discover Wildlife,Wildlife and Nature Apps
Use Apps,Track Expenses,Expense Tracking Apps
Use Apps,Explore Virtual Reality,Virtual Reality Apps
Use Apps,Practice Yoga,Yoga Apps
Use Apps,Plan Home Renovation,Home Renovation Apps
Use Apps,Discover Gadgets,Tech and Gadget Discovery Apps
Operating System Functions,File system access,Read
Operating System Functions,File system access,Write
Operating System Functions,File system access,Delete files
Operating System Functions,File system access,Search files
Operating System Functions,Process management,List
Operating System Functions,Process management,Kill
Operating System Functions,Process management,Prioritize processes
Operating System Functions,Memory management,View usage
Operating System Functions,Memory management,Clear memory/caches
Operating System Functions,Bash commands,Terminal Commands
Operating System Functions,Bash commands,Command-line tools
Operating System Functions,Bash commands,File manipulation
Operating System Functions,Scripting,Shell scripting
Operating System Functions,Create and manage folders,File system management
Operating System Functions,Move and copy files,File system operations
Operating System Functions,Compress and decompress files,File compression
Operating System Functions,Change file permissions,File permissions
Operating System Functions,Check disk space usage,Disk management
Operating System Functions,Monitor system resources,System monitoring
Operating System Functions,Schedule tasks,Task scheduling
Code Interpreters,Python REPL,Python REPL usage
Code Interpreters,Virtual environments,Virtual environment setup
Code Interpreters,Package installation,Package installation and management
Code Interpreters,Code profiling,Code profiling techniques
Code Interpreters,Debug code,Debugging techniques
Code Interpreters,Profile code performance,Profiling code performance
Code Interpreters,Test code,Testing best practices
Code Interpreters,Write unit tests,Unit testing fundamentals
Code Interpreters,Write integration tests,Integration testing fundamentals
Code Interpreters,Use linters and code formatters,Code quality tools usage
Database Management,Functions for executing SQL queries,SQL query execution
Database Management,Database connection,SQLite,SQLite connection
Database Management,Database connection,MySQL,MySQL connection
Database Management,Database connection,PostgreSQL,PostgreSQL connection
Database Management,Create and manage database tables,Table management
Database Management,Data manipulation,Data manipulation basics
Database Management,Data manipulation,Insert
Database Management,Data manipulation,Update
Database Management,Data manipulation,Delete
Database Management,Write complex SQL queries,Advanced SQL querying
Database Management,Perform database backups,Backup and recovery
Database Management,Optimize database performance,Performance tuning
Git Operations,Clone repos,Clone repositories
Git Operations,Commit changes,Committing changes
Git Operations,Pull requests,Pull request workflow
Git Operations,Branch and merge code,Branching and merging
Git Operations,Resolve merge conflicts,Conflict resolution
Git Operations,Revert changes,Reverting changes
Git Operations,Tag code versions,Version tagging
Git Operations,Interact with remote repositories,Remote collaboration
Data Processing,Data Cleaning,Data cleaning techniques
Data Processing,Data Transformation,Data transformation methods
Data Processing,Data Aggregation,Data aggregation techniques
Data Processing,Data Filtering,Data filtering methods
Data Processing,Data Migration,Data migration strategies
Data Processing,Data Compression,Data compression techniques
Data Processing,Data Encryption,Data encryption methods
Data Processing,Data Serialization,Data serialization methods
Data Processing,Data Validation,Data validation procedures
Data Processing,Data Augmentation,Data augmentation techniques
Data Processing,Data Normalization,Data normalization methods
Data Processing,Data Sampling,Data sampling techniques
Data Processing,Data Splitting,Data splitting methods
Data Processing,Data Imputation,Data imputation methods
Data Processing,Data Resampling,Data resampling methods
Data Processing,Data Integration,Data integration strategies
Data Processing,Data Deduplication,Data deduplication techniques
Data Processing,Data Exploration,Data exploration methods
Data Processing,Data Synchronization,Data synchronization techniques
Data Processing,Data Backup,Data backup methods
Data Processing,Data Recovery,Data recovery methods
Data Processing,Data Archiving,Data archiving methods
Data Processing,Data versioning,Data versioning techniques
Data Processing,Data replication,Data replication methods
Data Processing,Handle missing values,Handling missing data
Data Processing,Detect and remove outliers,Outlier detection techniques
Data Processing,Normalize and standardize data,Data normalization and standardization
Data Processing,Feature engineering,Feature engineering methods
Data Processing,Feature selection,Feature selection methods
Data Processing,Data visualization,Data visualization techniques
Desktop Applications,MS Office,Word Document Manipulation
Desktop Applications,MS Office,Excel Spreadsheet Manipulation
Desktop Applications,MS Office,PowerPoint Presentation Manipulation
Desktop Applications,MS Office,Outlook Email Management
Desktop Applications,Calculator,Perform Basic Calculations
Desktop Applications,Mail,Compose and Send Emails
Desktop Applications,Mail,Receive and Manage Emails
Desktop Applications,Calendar,Create and Manage Events
Desktop Applications,Notes,Create and Edit Notes
Desktop Applications,Contacts,Manage Contact Information
Desktop Applications,Reminders,Set and Manage Reminders
Desktop Applications,File Explorer (Windows),Navigate and Search Files
Desktop Applications,File Explorer (Windows),Copy and Move Files
Desktop Applications,File Explorer (Windows),Delete and Restore Files
Desktop Applications,File Explorer (Windows),Change File Permissions
Desktop Applications,Finder (Mac),Navigate and Search Files
Desktop Applications,Finder (Mac),Copy and Move Files
Desktop Applications,Finder (Mac),Delete and Restore Files
Desktop Applications,Finder (Mac),Change File Permissions
Desktop Applications,Terminal (Command Line),Execute Basic Bash Commands
Desktop Applications,Terminal (Command Line),File Manipulation with Command Line
Desktop Applications,Terminal (Command Line),Scripting and Automation
Desktop Applications,Code Editors,Open and Edit Code Files
Desktop Applications,Code Editors,Code Autocompletion
Desktop Applications,Code Editors,Code Compilation
Desktop Applications,Code Editors,Code Debugging
Desktop Applications,Code Editors,Version Control Integration
Desktop Applications,Web Browsers,Open and Navigate Web Pages
Desktop Applications,Web Browsers,Submit Forms on Web Pages
Desktop Applications,Web Browsers,Download Files from Websites
Desktop Applications,Web Browsers,Bookmark Management
Desktop Applications,Productivity Tools,Task Management
Desktop Applications,Productivity Tools,Collaborative Document Editing
Desktop Applications,Productivity Tools,Cloud Storage Integration
Desktop Applications,Productivity Tools,Note-Taking
Desktop Applications,Productivity Tools,Calendar Integration
Desktop Applications,Graphics Editor,Image Editing
Desktop Applications,Graphics Editor,Graphic Design
Desktop Applications,Graphics Editor,Export and Save Images
Desktop Applications,Video Editor,Video Editing
Desktop Applications,Video Editor,Export and Save Videos
Desktop Applications,Communication Apps,Send and Receive Messages
Desktop Applications,Communication Apps,Audio and Video Calls
Desktop Applications,Communication Apps,File Sharing
Desktop Applications,Social Media Apps,Post and Share Content
Desktop Applications,Social Media Apps,Interact with Posts
Desktop Applications,Social Media Apps,Manage Social Media Account
Mobile Applications,iPhone,Contacts,Add and Edit Contacts
Mobile Applications,iPhone,Messages,Send and Receive Text Messages
Mobile Applications,iPhone,Phone Calls,Make and Receive Phone Calls
Mobile Applications,iPhone,Calendar,Create and Manage Events
Mobile Applications,iPhone,Notes,Create and Edit Notes
Mobile Applications,iPhone,Reminders,Set and Manage Reminders
Mobile Applications,iPhone,Mail,Compose and Send Emails
Mobile Applications,iPhone,Maps,Get Directions and Navigate
Mobile Applications,iPhone,Photos,View and Organize Photos
Mobile Applications,iPhone,Health,Track and Monitor Health Data
Mobile Applications,iPhone,Weather,Check Weather Forecast
Mobile Applications,iPhone,Music,Play and Manage Music
Mobile Applications,iPhone,Podcasts,Listen to Podcasts
Mobile Applications,iPhone,News,Read and Follow News
Mobile Applications,iPhone,Settings,Adjust Device Settings
Mobile Applications,iPhone,App Store,Browse and Install Apps
Mobile Applications,iPhone,FaceTime,Make Video Calls
Mobile Applications,iPhone,Safari,Browse the Web
Mobile Applications,iPhone,Wallet,Manage Payment and Cards
Mobile Applications,iPhone,Files,Manage Files and Documents
Mobile Applications,iPhone,Translate,Translate Text or Speech
Mobile Applications,iPhone,Measure,Measure Objects and Spaces
Mobile Applications,Android,Contacts,Add and Edit Contacts
Mobile Applications,Android,Messages,Send and Receive Text Messages
Mobile Applications,Android,Phone Calls,Make and Receive Phone Calls
Mobile Applications,Android,Calendar,Create and Manage Events
Mobile Applications,Android,Notes,Create and Edit Notes
Mobile Applications,Android,Reminders,Set and Manage Reminders
Mobile Applications,Android,Email,Compose and Send Emails
Mobile Applications,Android,Maps,Get Directions and Navigate
Mobile Applications,Android,Photos,View and Organize Photos
Mobile Applications,Android,Health,Track and Monitor Health Data
Mobile Applications,Android,Weather,Check Weather Forecast
Mobile Applications,Android,Music,Play and Manage Music
Mobile Applications,Android,Podcasts,Listen to Podcasts
Mobile Applications,Android,News,Read and Follow News
Mobile Applications,Android,Settings,Adjust Device Settings
Mobile Applications,Android,Google Play Store,Browse and Install Apps
Mobile Applications,Android,Video Calls,Make Video Calls
Mobile Applications,Android,Chrome,Browse the Web
Mobile Applications,Android,Google Pay,Manage Payments and Cards
Mobile Applications,Android,Files,Manage Files and Documents
Mobile Applications,Android,Translate,Translate Text or Speech
Mobile Applications,Android,Measure,Measure Objects and Spaces
Cloud Platforms,AWS,Compute,Launch and Manage EC2 Instances
Cloud Platforms,AWS,Compute,Autoscaling Configuration
Cloud Platforms,AWS,Compute,Instance Security Groups
Cloud Platforms,AWS,Storage,Create and Manage S3 Buckets
Cloud Platforms,AWS,Storage,Upload and Download Objects in S3
Cloud Platforms,AWS,Storage,S3 Bucket Policies
Cloud Platforms,AWS,Database,Create and Configure RDS Instances
Cloud Platforms,AWS,Database,Database Backups and Restores
Cloud Platforms,AWS,Networking,Configure VPC (Virtual Private Cloud)
Cloud Platforms,AWS,Networking,Manage Route Tables and Subnets
Cloud Platforms,AWS,Networking,Load Balancer Setup
Cloud Platforms,AWS,Security,IAM User Management
Cloud Platforms,AWS,Security,Key Pair Management
Cloud Platforms,AWS,Security,Security Group Configuration
Cloud Platforms,AWS,Monitoring,Set Up CloudWatch Alarms
Cloud Platforms,AWS,Monitoring,Analyze CloudWatch Metrics
Cloud Platforms,AWS,Monitoring,Logging with CloudWatch Logs
Cloud Platforms,Azure,Compute,Create and Manage Virtual Machines
Cloud Platforms,Azure,Compute,Scale Sets Configuration
Cloud Platforms,Azure,Compute,Virtual Machine Extensions
Cloud Platforms,Azure,Storage,Manage Azure Storage Accounts
Cloud Platforms,Azure,Storage,Blob Storage Operations
Cloud Platforms,Azure,Storage,Azure File Share Configuration
Cloud Platforms,Azure,Database,Deploy and Manage Azure SQL Database
Cloud Platforms,Azure,Database,Database Scaling and Sharding
Cloud Platforms,Azure,Networking,Set Up Virtual Networks
Cloud Platforms,Azure,Networking,Azure Traffic Manager
Cloud Platforms,Azure,Networking,Load Balancer Configuration
Cloud Platforms,Azure,Security,Azure Active Directory Setup
Cloud Platforms,Azure,Security,Role-Based Access Control (RBAC)
Cloud Platforms,Azure,Security,Azure Key Vault Configuration
Cloud Platforms,Azure,Monitoring,Azure Monitor Configuration
Cloud Platforms,Azure,Monitoring,Application Insights Integration
Cloud Platforms,Azure,Monitoring,Log Analytics Queries
Cloud Platforms,GCP,Compute,Create and Manage Compute Engine Instances
Cloud Platforms,GCP,Compute,Instance Groups Configuration
Cloud Platforms,GCP,Compute,Google Kubernetes Engine (GKE) Setup
Cloud Platforms,GCP,Storage,Create and Manage Google Cloud Storage Buckets
Cloud Platforms,GCP,Storage,Cloud Storage Access Control
Cloud Platforms,GCP,Storage,Transfer Appliance Configuration
Cloud Platforms,GCP,Database,Deploy and Manage Cloud SQL Instances
Cloud Platforms,GCP,Database,NoSQL Datastore Operations
Cloud Platforms,GCP,Database,Bigtable Configuration
Cloud Platforms,GCP,Networking,Set Up Virtual Private Cloud (VPC)
Cloud Platforms,GCP,Networking,Load Balancing in GCP
Cloud Platforms,GCP,Networking,Cloud DNS Configuration
Cloud Platforms,GCP,Security,Identity and Access Management (IAM)
Cloud Platforms,GCP,Security,Cloud KMS (Key Management Service)
Cloud Platforms,GCP,Security,Security Scanner Configuration
Cloud Platforms,GCP,Monitoring,Stackdriver Monitoring Setup
Cloud Platforms,GCP,Monitoring,Error Reporting in Stackdriver
Cloud Platforms,GCP,Monitoring,Trace and Profiler Setup
Cloud Platforms,Databricks,Workspace Management,Create and Configure Databricks Workspace
Cloud Platforms,Databricks,Workspace Management,User Access and Permissions
Cloud Platforms,Databricks,Workspace Management,Notebook Creation and Execution
Cloud Platforms,Databricks,Workspace Management,Cluster Configuration
Cloud Platforms,Databricks,Data Import and Export,Import Data into Databricks
Cloud Platforms,Databricks,Data Import and Export,Export Data from Databricks
Cloud Platforms,Databricks,Data Import and Export,Connect to External Data Sources
Cloud Platforms,Databricks,Data Import and Export,Delta Lake Operations
Cloud Platforms,Databricks,Job Execution,Schedule and Run Jobs in Databricks
Cloud Platforms,Databricks,Job Execution,Parameterize and Automate Jobs
Cloud Platforms,Databricks,Job Execution,Manage Job Output and Logs
Cloud Platforms,Databricks,Collaboration and Sharing,Share and Collaborate on Notebooks
Cloud Platforms,Databricks,Collaboration and Sharing,Version Control in Databricks
Cloud Platforms,Databricks,Collaboration and Sharing,Dashboard Creation
Cloud Platforms,Snowflake,Database Administration,Create and Configure Snowflake Database
Cloud Platforms,Snowflake,Database Administration,Manage Snowflake Users and Roles
Cloud Platforms,Snowflake,Database Administration,Schema and Table Creation
Cloud Platforms,Snowflake,Data Loading,Load Data into Snowflake
Cloud Platforms,Snowflake,Data Loading,Unload Data from Snowflake
Cloud Platforms,Snowflake,Data Loading,Copy Data between Tables
Cloud Platforms,Snowflake,Querying Data,Write SQL Queries in Snowflake
Cloud Platforms,Snowflake,Querying Data,Optimize Query Performance
Cloud Platforms,Snowflake,Querying Data,Use Snowflake Stored Procedures
Cloud Platforms,Snowflake,Security and Access Control,Implement Data Encryption in Snowflake
Cloud Platforms,Snowflake,Security and Access Control,Set Up Snowflake Virtual Warehouses
Cloud Platforms,Snowflake,Security and Access Control,Audit Snowflake Usage
Cloud Platforms,Snowflake,Monitoring and Optimization,Monitor Snowflake Query History
Cloud Platforms,Snowflake,Monitoring and Optimization,Optimize Snowflake Storage Usage
Cloud Platforms,Snowflake,Monitoring and Optimization,Manage Snowflake Clusters
Model APIs,Torch Hub,Image Classification,Use a Pre-trained Image Classification Model
Model APIs,Torch Hub,Object Detection,Apply Object Detection Model on Images
Model APIs,Torch Hub,Text Generation,Generate Text using Language Model
Model APIs,Torch Hub,Style Transfer,Apply Style Transfer to Images
Model APIs,Torch Hub,Speech Recognition,Transcribe Speech to Text
Model APIs,Torch Hub,Facial Recognition,Identify Faces in Images
Model APIs,TensorFlow Hub,Image Segmentation,Perform Semantic Segmentation on Images
Model APIs,TensorFlow Hub,Text Classification,Classify Text with Pre-trained Model
Model APIs,TensorFlow Hub,Named Entity Recognition,Extract Named Entities from Text
Model APIs,TensorFlow Hub,Image Generation,Generate Images with GANs
Model APIs,TensorFlow Hub,Recommendation Systems,Implement Collaborative Filtering
Model APIs,TensorFlow Hub,Emotion Detection,Detect Emotions in Images
Model APIs,Hugging Face,Text Translation,Translate Text between Languages
